Symbol,Yesterday High,Yesterday Low,Today Open,Gap %,Status
BHARTIARTL,1871.0,1843.1,1872.0,0.05,Gap Up Breakout
BPCL,316.85,309.7,317.0,0.05,Gap Up Breakout
DRREDDY,1324.8,1308.8,1305.0,0.29,Gap Down Breakdown
ICICIBANK,1432.0,1410.2,1408.0,0.16,Gap Down Breakdown
KOTAKBANK,2137.4,2108.7,2139.5,0.1,Gap Up Breakout
TECHM,1732.8,1708.4,1684.0,1.43,Gap Down Breakdown
